#,emoji,name
563,🦇,bat
564,🐻,bear
565,🐻‍❄️,polar bear
566,🐨,koala
567,🐼,panda
568,🦥,sloth
569,🦦,otter
570,🦨,skunk
571,🦘,kangaroo
572,🦡,badger
573,🐾,paw prints
574,🦃,turkey
575,🐔,chicken
576,🐓,rooster
577,🐣,hatching chick
578,🐤,baby chick
579,🐥,front-facing baby chick
580,🐦,bird
581,🐧,penguin
582,🕊,dove
583,🦅,eagle
584,🦆,duck
585,🦢,swan
586,🦉,owl
587,🦤,dodo
588,🪶,feather
589,🦩,flamingo
590,🦚,peacock
591,🦜,parrot
592,🐸,frog
593,🐊,crocodile
594,🐢,turtle
595,🦎,lizard
596,🐍,snake
597,🐲,dragon face
598,🐉,dragon
599,🦕,sauropod
600,🦖,T-Rex
601,🐳,spouting whale
602,🐋,whale
603,🐬,dolphin
604,🦭,seal
605,🐟,fish
606,🐠,tropical fish
607,🐡,blowfish
608,🦈,shark
609,🐙,octopus
610,🐚,spiral shell
611,🐌,snail
612,🦋,butterfly
613,🐛,bug
614,🐜,ant
615,🐝,honeybee
616,🪲,beetle
617,🐞,lady beetle
618,🦗,cricket
619,🪳,cockroach
620,🕷,spider
621,🕸,spider web
622,🦂,scorpion
623,🦟,mosquito
624,🪰,fly
625,🪱,worm
626,🦠,microbe
627,💐,bouquet
628,🌸,cherry blossom
629,💮,white flower
630,🏵,rosette
631,🌹,rose
632,🥀,wilted flower
633,🌺,hibiscus
634,🌻,sunflower
635,🌼,blossom
636,🌷,tulip
637,🌱,seedling
638,🪴,potted plant
639,🌲,evergreen tree
640,🌳,deciduous tree
641,🌴,palm tree
642,🌵,cactus
643,🌾,sheaf of rice
644,🌿,herb
645,☘,shamrock
646,🍀,four leaf clover
647,🍁,maple leaf
648,🍂,fallen leaf
649,🍃,leaf fluttering in wind
650,🍇,grapes
651,🍈,melon
652,🍉,watermelon
653,🍊,tangerine
654,🍋,lemon
655,🍌,banana
656,🍍,pineapple
657,🥭,mango
658,🍎,red apple
659,🍏,green apple
660,🍐,pear
661,🍑,peach
662,🍒,cherries
663,🍓,strawberry
664,🫐,blueberries
665,🥝,kiwi fruit
666,🍅,tomato
667,🫒,olive
668,🥥,coconut
669,🥑,avocado
670,🍆,eggplant
671,🥔,potato
672,🥕,carrot
673,🌽,ear of corn
674,🌶,hot pepper
675,🫑,bell pepper
676,🥒,cucumber
677,🥬,leafy green
678,🥦,broccoli
679,🧄,garlic
680,🧅,onion
681,🍄,mushroom
682,🥜,peanuts
683,🌰,chestnut
684,🍞,bread
685,🥐,croissant
686,🥖,baguette bread
687,🫓,flatbread
688,🥨,pretzel
689,🥯,bagel
690,🥞,pancakes
691,🧇,waffle
692,🧀,cheese wedge
693,🍖,meat on bone
694,🍗,poultry leg
695,🥩,cut of meat
696,🥓,bacon
697,🍔,hamburger
698,🍟,french fries
699,🍕,pizza
700,🌭,hot dog
701,🥪,sandwich
702,🌮,taco
703,🌯,burrito
704,🫔,tamale
705,🥙,stuffed flatbread
706,🧆,falafel
707,🥚,egg
708,🍳,cooking
709,🥘,shallow pan of food
710,🍲,pot of food
711,🫕,fondue
712,🥣,bowl with spoon
713,🥗,green salad
714,🍿,popcorn
715,🧈,butter
716,🧂,salt
717,🥫,canned food
718,🍱,bento box
719,🍘,rice cracker
720,🍙,rice ball
721,🍚,cooked rice
722,🍛,curry rice
723,🍜,steaming bowl
724,🍝,spaghetti
725,🍠,roasted sweet potato
726,🍢,oden
727,🍣,sushi
728,🍤,fried shrimp
729,🍥,fish cake with swirl
730,🥮,moon cake
731,🍡,dango
732,🥟,dumpling
733,🥠,fortune cookie
734,🥡,takeout box
735,🦀,crab
736,🦞,lobster
737,🦐,shrimp
738,🦑,squid
739,🦪,oyster
740,🍦,soft ice cream
741,🍧,shaved ice
742,🍨,ice cream
743,🍩,doughnut
744,🍪,cookie
745,🎂,birthday cake
746,🍰,shortcake
747,🧁,cupcake
748,🥧,pie
749,🍫,chocolate bar
750,🍬,candy
751,🍭,lollipop
752,🍮,custard
753,🍯,honey pot
754,🍼,baby bottle
755,🥛,glass of milk
756,☕,hot beverage
757,🫖,teapot
758,🍵,teacup without handle
759,🍶,sake
760,🍾,bottle with popping cork
761,🍷,wine glass
762,🍸,cocktail glass
763,🍹,tropical drink
764,🍺,beer mug
765,🍻,clinking beer mugs
766,🥂,clinking glasses
767,🥃,tumbler glass
768,🥤,cup with straw
769,🧋,bubble tea
770,🧃,beverage box
771,🧉,mate
772,🧊,ice
773,🥢,chopsticks
774,🍽,fork and knife with plate
775,🍴,fork and knife
776,🥄,spoon
777,🔪,kitchen knife
778,🏺,amphora
779,🌍,globe showing Europe-Africa
780,🌎,globe showing Americas
781,🌏,globe showing Asia-Australia
782,🌐,globe with meridians
783,🗺,world map
784,🗾,map of Japan
785,🧭,compass
786,🏔,snow-capped mountain
787,⛰,mountain
788,🌋,volcano
789,🗻,mount fuji
790,🏕,camping
791,🏖,beach with umbrella
792,🏜,desert
793,🏝,desert island
794,🏞,national park
795,🏟,stadium
796,🏛,classical building
797,🏗,building construction
798,🧱,brick
799,🪨,rock
800,🪵,wood
801,🛖,hut
802,🏘,houses
803,🏚,derelict house
804,🏠,house
805,🏡,house with garden
806,🏢,office building
807,🏣,Japanese post office
808,🏤,post office
809,🏥,hospital
810,🏦,bank
811,🏨,hotel
812,🏩,love hotel
813,🏪,convenience store
814,🏫,school
815,🏬,department store
816,🏭,factory
817,🏯,Japanese castle
818,🏰,castle
819,💒,wedding
820,🗼,Tokyo tower
821,🗽,Statue of Liberty
822,⛪,church
823,🕌,mosque
824,🛕,hindu temple
825,🕍,synagogue
826,⛩,shinto shrine
827,🕋,kaaba
828,⛲,fountain
829,⛺,tent
830,🌁,foggy
831,🌃,night with stars
832,🏙,cityscape
833,🌄,sunrise over mountains
834,🌅,sunrise
835,🌆,cityscape at dusk
836,🌇,sunset
837,🌉,bridge at night
838,♨,hot springs
839,🎠,carousel horse
840,🎡,ferris wheel
841,🎢,roller coaster
842,💈,barber pole
843,🎪,circus tent
844,🚂,locomotive
845,🚃,railway car
846,🚄,high-speed train
847,🚅,bullet train
848,🚆,train
849,🚇,metro
850,🚈,light rail
851,🚉,station
852,🚊,tram
853,🚝,monorail
854,🚞,mountain railway
855,🚋,tram car
856,🚌,bus
857,🚍,oncoming bus
858,🚎,trolleybus
859,🚐,minibus
860,🚑,ambulance
861,🚒,fire engine
862,🚓,police car
863,🚔,oncoming police car
864,🚕,taxi
865,🚖,oncoming taxi
866,🚗,automobile
867,🚘,oncoming automobile
868,🚙,sport utility vehicle
869,🛻,pickup truck
870,🚚,delivery truck
871,🚛,articulated lorry
872,🚜,tractor
873,🏎,racing car
874,🏍,motorcycle
875,🛵,motor scooter
876,🦽,manual wheelchair
877,🦼,motorized wheelchair
878,🛺,auto rickshaw
879,🚲,bicycle
880,🛴,kick scooter
881,🛹,skateboard
882,🛼,roller skate
883,🚏,bus stop
884,🛣,motorway
885,🛤,railway track
886,🛢,oil drum
887,⛽,fuel pump
888,🚨,police car light
889,🚥,horizontal traffic light
890,🚦,vertical traffic light
891,🛑,stop sign
892,🚧,construction
893,⚓,anchor
894,⛵,sailboat
895,🛶,canoe
896,🚤,speedboat
897,🛳,passenger ship
898,⛴,ferry
899,🛥,motor boat
900,🚢,ship
901,✈,airplane
902,🛩,small airplane
903,🛫,airplane departure
904,🛬,airplane arrival
905,🪂,parachute
906,💺,seat
907,🚁,helicopter
908,🚟,suspension railway
909,🚠,mountain cableway
910,🚡,aerial tramway
911,🛰,satellite
912,🚀,rocket
913,🛸,flying saucer
914,🛎,bellhop bell
915,🧳,luggage
916,⌛,hourglass done
917,⏳,hourglass not done
918,⌚,watch
919,⏰,alarm clock
920,⏱,stopwatch
921,⏲,timer clock
922,🕰,mantelpiece clock
923,🕛,twelve o’clock
924,🕧,twelve-thirty
925,🕐,one o’clock
926,🕜,one-thirty
927,🕑,two o’clock
928,🕝,two-thirty
929,🕒,three o’clock
930,🕞,three-thirty
931,🕓,four o’clock
932,🕟,four-thirty
933,🕔,five o’clock
934,🕠,five-thirty
935,🕕,six o’clock
936,🕡,six-thirty
937,🕖,seven o’clock
938,🕢,seven-thirty
939,🕗,eight o’clock
940,🕣,eight-thirty
941,🕘,nine o’clock
942,🕤,nine-thirty
943,🕙,ten o’clock
944,🕥,ten-thirty
945,🕚,eleven o’clock
946,🕦,eleven-thirty
947,🌑,new moon
948,🌒,waxing crescent moon
949,🌓,first quarter moon
950,🌔,waxing gibbous moon
951,🌕,full moon
952,🌖,waning gibbous moon
953,🌗,last quarter moon
954,🌘,waning crescent moon
955,🌙,crescent moon
956,🌚,new moon face
957,🌛,first quarter moon face
958,🌜,last quarter moon face
959,🌡,thermometer
960,☀,sun
961,🌝,full moon face
962,🌞,sun with face
963,🪐,ringed planet
964,⭐,star
965,🌟,glowing star
966,🌠,shooting star
967,🌌,milky way
968,☁,cloud
969,⛅,sun behind cloud
970,⛈,cloud with lightning and rain
971,🌤,sun behind small cloud
972,🌥,sun behind large cloud
973,🌦,sun behind rain cloud
974,🌧,cloud with rain
975,🌨,cloud with snow
976,🌩,cloud with lightning
977,🌪,tornado
978,🌫,fog
979,🌬,wind face
980,🌀,cyclone
981,🌈,rainbow
982,🌂,closed umbrella
983,☂,umbrella
984,☔,umbrella with rain drops
985,⛱,umbrella on ground
986,⚡,high voltage
987,❄,snowflake
988,☃,snowman
989,⛄,snowman without snow
990,☄,comet
991,🔥,fire
992,💧,droplet
993,🌊,water wave
994,🎃,jack-o-lantern
995,🎄,Christmas tree
996,🎆,fireworks
997,🎇,sparkler
998,🧨,firecracker
999,✨,sparkles
1000,🎈,balloon
1001,🎉,party popper
1002,🎊,confetti ball
1003,🎋,tanabata tree
1004,🎍,pine decoration
1005,🎎,Japanese dolls
1006,🎏,carp streamer
1007,🎐,wind chime
1008,🎑,moon viewing ceremony
1009,🧧,red envelope
1010,🎀,ribbon
1011,🎁,wrapped gift
1012,🎗,reminder ribbon
1013,🎟,admission tickets
1014,🎫,ticket
1015,🎖,military medal
1016,🏆,trophy
1017,🏅,sports medal
1018,🥇,1st place medal
1019,🥈,2nd place medal
1020,🥉,3rd place medal
1021,⚽,soccer ball
1022,⚾,baseball
1023,🥎,softball
1024,🏀,basketball
1025,🏐,volleyball
1026,🏈,american football
1027,🏉,rugby football
1028,🎾,tennis
1029,🥏,flying disc
1030,🎳,bowling
1031,🏏,cricket game
1032,🏑,field hockey
1033,🏒,ice hockey
1034,🥍,lacrosse
1035,🏓,ping pong
1036,🏸,badminton
1037,🥊,boxing glove
1038,🥋,martial arts uniform
1039,🥅,goal net
1040,⛳,flag in hole
1041,⛸,ice skate
1042,🎣,fishing pole
1043,🤿,diving mask
1044,🎽,running shirt
1045,🎿,skis
1046,🛷,sled
1047,🥌,curling stone
1048,🎯,bullseye
1049,🪀,yo-yo
1050,🪁,kite
1051,🎱,pool 8 ball
1052,🔮,crystal ball
1053,🪄,magic wand
1054,🧿,nazar amulet
1055,🎮,video game
1056,🕹,joystick
1057,🎰,slot machine
1058,🎲,game die
1059,🧩,puzzle piece
1060,🧸,teddy bear
1061,🪅,piñata
1062,🪆,nesting dolls
1063,♠,spade suit
1064,♥,heart suit
1065,♦,diamond suit
1066,♣,club suit
1067,♟,chess pawn
1068,🃏,joker
1069,🀄,mahjong red dragon
1070,🎴,flower playing cards
1071,🎭,performing arts
1072,🖼,framed picture
1073,🎨,artist palette
1074,🧵,thread
1075,🪡,sewing needle
1076,🧶,yarn
1077,🪢,knot
1078,👓,glasses
1079,🕶,sunglasses
1080,🥽,goggles
1081,🥼,lab coat
1082,🦺,safety vest
1083,👔,necktie
1084,👕,t-shirt
1085,👖,jeans
1086,🧣,scarf
1087,🧤,gloves
1088,🧥,coat
1089,🧦,socks
1090,👗,dress
1091,👘,kimono
1092,🥻,sari
1093,🩱,one-piece swimsuit
1094,🩲,briefs
1095,🩳,shorts
1096,👙,bikini
1097,👚,woman’s clothes
1098,👛,purse
1099,👜,handbag
1100,👝,clutch bag
1101,🛍,shopping bags
1102,🎒,backpack
1103,🩴,thong sandal
1104,👞,man’s shoe
1105,👟,running shoe
1106,🥾,hiking boot
1107,🥿,flat shoe
